Branch Order Table.

j, binMax, BifPercent,DRmean,DRstdev,DRmax,DRmin, DRuf, DRcurve, PDRmean, PDRstdev,PDRmax,PDRmin, PDRuf,PDRcurve, TRmean,TRstdev,TRmax,TRmin,TRuf, TRcurve,Nbifs,Ntips,BPLmean,BPLstdev,BPLmax,BPLmin, BPLcurve
79,243.60151147076618,0.547945205479452,1.6247195507367542,0.4939383163934205,3.5,1.052514956791491,0.45,2,0.8390219993362824,0.4405595967464864,2.0,0.2857142857142857,0.55,3,1.2041923997216502,0.5327071244995178,2.5,0.39999999999999997,0.5555555555555556,1,40,33,15.648542091538575,14.987494284956806,69.19934613382833,0.2886173937932374,3
80,244.54376661841084,0.640625,1.545349527665317,0.21611639411898828,2.0,1.2562105263157894,0.6829268292682927,3,0.7736346200398487,0.275727194843055,1.5,0.6666666666666666,0.7804878048780488,2,1.0505386044519653,0.4462916022129123,1.5,0.39999999999999997,0.6172839506172839,1,41,23,14.003610597752138,13.49145547529658,77.55453895224672,0.5371219600798327,3
81,245.55494323688853,0.5,1.691366947077955,0.5647946818187461,3.5,1.0866052631578946,0.575,2,0.7993378226941816,0.37677015750154436,1.666726809355195,0.2857142857142857,0.6,2,1.325287874793292,0.6801404068388381,3.5,0.5,0.6419753086419753,1,40,40,12.636719265716515,15.205201560764653,83.51164543652347,0.6171709649683818,3
82,246.32637465522848,0.5405405405405406,1.6428571428571428,0.32182515217339464,2.5,1.4999999999999998,0.475,2,0.8425925925925922,0.3686320863751572,1.5,0.4,0.55,2,1.2555555555555555,0.5769076855529521,2.5,0.5,0.6296296296296297,3,40,34,13.174731232799514,15.373133270153698,96.98167746530811,0.3733630940518935,3
83,247.47327120711924,0.4880952380952381,1.5373964533161224,0.24958228266184102,2.0,1.0138,0.4146341463414634,2,0.8076542292856322,0.3943463464219088,2.0,0.5,0.5121951219512195,2,1.2714116156108304,0.525494246195225,2.0,0.4,0.6049382716049383,2,41,43,16.465804768219822,23.204051032214355,155.67433634034438,1.2425779653607343,3
84,248.68743823241329,0.4659090909090909,1.5119286743477258,0.15912263654807593,2.0,1.3333333333333333,0.6829268292682927,1,0.9270833333333331,0.3786855922500587,1.5,0.6666666666666666,0.6097560975609756,1,1.0277777777777777,0.491537176921844,2.0,0.5,0.5925925925925926,3,41,47,13.421625234854764,14.129709324991584,67.05112077100137,0.7481722362840055,3
85,249.85652158466644,0.42105263157894735,1.5595238095238095,0.19178806475550506,2.0,1.3333333333333333,0.65,2,0.9166666666666666,0.408248290463863,1.5,0.5,0.675,3,1.0325396825396826,0.5444792667840272,2.0,0.2,0.7407407407407407,3,40,55,10.436137672088844,10.141734195404503,47.89942225091599,0.31064449134018357,3
86,250.84896465019938,0.5466666666666666,1.522725735022758,0.11836051827017016,2.0,1.3333333333333335,0.4634146341463415,3,0.8018526871669702,0.3508105261047729,1.6666666666666665,0.5,0.5609756097560976,3,1.137355876843756,0.4857745153144057,2.5,0.4,0.5308641975308642,1,41,34,13.276513190789956,16.455912577278625,109.89813289031142,0.4327817001676366,3
87,251.91820149693763,0.5263157894736842,1.657892956342141,0.33552003364244326,2.5,1.4999661705006768,0.525,1,0.8655555555555555,0.4044625410219679,1.5,0.39999999999999997,0.625,3,0.9865584413789272,0.4847383693883114,2.0,0.39999999999999997,0.6172839506172839,2,40,36,14.02526262293284,17.334308624871614,94.35111884939462,0.45803929962396117,3
88,252.6494763652847,0.5942028985507246,1.6032256410256414,0.3323617028757398,2.5,1.0172,0.36585365853658536,2,0.8547503573457171,0.3917209436528014,1.6666666666666665,0.39999999999999997,0.4878048780487805,1,1.426782342796037,0.6034479306842025,3.0,0.5,0.6172839506172839,1,41,28,15.78379143824538,19.734955956828493,115.20114847277742,0.6140662607953951,3
89,253.55205299516524,0.5405405405405406,1.488744469870328,0.21723952962105048,2.0,1.0077894736842106,0.425,2,0.8458764809454176,0.32699128591117343,1.5,0.6,0.65,3,1.1355065681262089,0.531230400933047,2.0,0.39999999999999997,0.6296296296296297,1,40,34,13.29766234954676,13.770221085678044,64.04463477396853,0.14999999999998864,3
90,254.42575839055598,0.5540540540540541,1.5980392156862744,0.23613513910802994,2.0,1.3333333333333333,0.5853658536585366,3,0.7107843137254902,0.2147302229017866,1.4999999999999998,0.5,0.5853658536585366,1,1.0310344827586209,0.514139829853211,2.0,0.39999999999999997,0.6419753086419753,3,41,33,11.312019571671911,10.67366705739164,69.94925534466324,0.30149626863363815,3
91,255.45262242504427,0.45977011494252873,1.5588215394412164,0.16605354023748775,2.0,1.4999661705006768,0.575,2,0.8177092730628415,0.3418609515217583,1.5,0.5,0.6,3,1.0694436613683116,0.5105550742637728,2.0,0.5,0.7037037037037037,1,40,47,14.168490076507748,14.857135392067777,88.44337161714422,1.067591540852931,1
92,256.4080326977396,0.4823529411764706,1.6610794936615083,0.36296219723149786,2.5,1.0524566554035342,0.5853658536585366,3,0.7964528226522278,0.3663637073789348,1.5,0.39999999999999997,0.6097560975609756,3,1.0982406970576555,0.5430015576266349,2.5,0.5,0.5925925925925926,3,41,44,13.392186937519092,15.762173612984844,78.93070187082792,0.3061045573002739,3
93,257.3683909149765,0.5970149253731343,1.727659207507838,0.47384781333974096,3.0,1.0613978494623655,0.625,3,1.125387815317597,0.47834038877483304,2.0,0.5,0.6,2,1.1320978688960306,0.5178413073119691,2.0,0.3999945873533511,0.6666666666666666,1,40,27,12.457560258857603,14.741391945219235,83.99148792633127,0.4440720662234884,3
94,258.33383689142283,0.5466666666666666,1.5452875664120258,0.22997422073886908,2.0,1.1313662159449644,0.5609756097560976,3,0.8267053212791452,0.36743035096514176,1.5,0.5,0.6341463414634146,2,1.228759707199753,0.47776603678147883,2.0,0.5,0.654320987654321,1,41,34,11.573507261105723,10.328646822539973,44.14544993664468,0.38626415831655386,3
95,259.1593750864454,0.625,1.7120135920628052,0.28505648369691633,2.0,1.2562105263157894,0.675,3,0.7535430730280079,0.34382906378751876,1.5,0.5,0.675,2,1.2210179657902553,0.5389945690285665,2.0,0.5,0.6790123456790124,1,40,24,12.778966421422677,12.474965285330123,52.41506971703929,2.1724876770716284,3
96,260.2679688997167,0.4823529411764706,1.6875,0.3938179688543841,2.6666666666666665,1.3333333333333333,0.6097560975609756,2,0.8072222222222222,0.42481166072737114,1.6666666666666665,0.375,0.6341463414634146,3,1.1969696969696968,0.5689514988826448,2.5,0.3333333333333333,0.5925925925925926,3,41,44,16.014305471234948,18.67579331179853,97.30158745578126,0.7341658669218525,3
97,261.15978583851836,0.5797101449275363,1.5833305142083898,0.19462605309240855,2.0,1.4999661705006768,0.7,2,0.8974370540260614,0.4223958157239623,1.5,0.5,0.675,3,1.1235620518563452,0.48520719266389467,2.0,0.5,0.6419753086419753,3,40,29,12.662789149009665,13.36632661778554,59.17310222083549,0.7596051605933121,3
98,262.03109078250503,0.5857142857142857,1.685595369574999,0.5962841349035085,3.5,1.2271444348999878,0.7073170731707317,2,0.7724867724867726,0.43936654165276434,1.5,0.2857142857142857,0.7804878048780488,3,1.052469692679215,0.6636901955483769,3.5,0.4,0.6707317073170732,1,41,29,12.36419162513599,13.458987778697775,71.03531071891123,0.15000000000000355,3
99,263.0675258232695,0.5256410256410257,1.9487179487179487,1.1146844250824388,5.5,1.3333333333333333,0.6829268292682927,1,0.7804040404040403,0.3514743159342762,1.4999999999999998,0.2727272727272727,0.6341463414634146,2,1.1930096614140004,0.6383824583430868,3.666666666666667,0.4,0.6172839506172839,1,41,37,12.090370648079105,13.54985485641436,64.36249111798116,0.6141629933152692,3
100,264.0373020993122,0.45977011494252873,1.6025641025641024,0.18681617943926834,2.0,1.4999999999999998,0.675,1,0.9060606060606061,0.48575672507912426,2.0,0.5,0.725,1,1.0361115120705062,0.5895150521660535,2.5,0.3999945873533511,0.7037037037037037,1,40,47,12.752872777534327,14.752132278685774,80.24220767757525,0.4393176527297694,3
101,265.0408587169255,0.4659090909090909,1.6071420516785875,0.45118863793649966,3.5,1.2500169147496618,0.4878048780487805,2,0.7187671178901855,0.281746001058943,1.4999999999999998,0.2857142857142857,0.5853658536585366,3,1.3354849622419136,0.6592347381549021,3.5,0.4,0.6172839506172839,1,41,47,12.29492736006726,12.33925240551269,61.28922057735147,0.6216094784333699,3
102,266.21719381672347,0.4444444444444444,1.512159057811085,0.2004303603099738,2.0,1.0035,0.65,2,1.1108204617173225,0.4164998770523407,1.5,0.6666666666666666,0.7,1,0.9744454468225867,0.4302447888082089,1.5,0.39999999999999997,0.6296296296296297,2,40,50,12.816677640841313,10.894917797831905,55.4228485666947,0.7566372975210771,3
103,267.23689075632547,0.4878048780487805,1.609835447677041,0.2989537566088557,2.5000338294993236,1.3333333333333333,0.6,1,0.8108744127403276,0.38501459198563237,1.5,0.3999945873533511,0.65,3,1.0680019546068584,0.5928991989421715,2.5000338294993236,0.39999999999999997,0.691358024691358,2,40,42,11.163740681111983,10.081954528277377,45.5580513190092,0.3080584360149912,3
104,268.2796026464256,0.5061728395061729,1.4762257875130447,0.20906458163608388,2.0,1.0243024005022385,0.6829268292682927,3,0.9038473104363178,0.4192222190037391,1.5,0.5,0.6829268292682927,1,1.1494943799850346,0.4794458612251123,2.0,0.39999999999999997,0.5925925925925926,1,41,40,11.454957153121013,12.926531374255852,74.96801031672108,0.5280151512977493,3
105,269.25415301426364,0.5394736842105263,1.7142832978929055,0.6744064576818045,4.0,1.3333333333333333,0.6585365853658537,1,0.7520845863060112,0.36831767599409165,1.4999999999999998,0.375,0.7073170731707317,1,1.189101841263057,0.7877517399182267,4.0,0.39999999999999997,0.6829268292682927,2,41,35,14.997560114904978,24.10257303845201,158.2165817736748,0.311448230047957,3
